,Regression type,lambda,kFold,Complexity,Value,Metric
0,OLS,0.0,5,10.0,0.002015054370867087,MSE
0,OLS,0.0,5,10.0,-0.0052016934582826335,Bias
0,OLS,0.0,5,10.0,0.002669205858845011,Variance
0,OLS,0.0,5,10.0,0.5564020220514727,R2
0,OLS,0.0,5,10.0,0.0019790330823574918,MSE_train
0,RIDGE,1e-06,5,10.0,0.0030473546566116313,MSE
0,RIDGE,1e-06,5,10.0,-0.0028638206203253705,Bias
0,RIDGE,1e-06,5,10.0,0.0013636846908633186,Variance
0,RIDGE,1e-06,5,10.0,0.32829602578830047,R2
0,RIDGE,1e-06,5,10.0,0.003031327132162044,MSE_train
0,LASSO,1e-06,5,10.0,0.004547616948818464,MSE
0,LASSO,1e-06,5,10.0,4.7154086997049094e-08,Bias
0,LASSO,1e-06,5,10.0,0.0,Variance
0,LASSO,1e-06,5,10.0,-0.0002633320774375244,R2
0,LASSO,1e-06,5,10.0,0.00454761716167004,MSE_train
0,RIDGE,1e-05,5,10.0,0.0030471993347904575,MSE
0,RIDGE,1e-05,5,10.0,-0.002863480838949643,Bias
0,RIDGE,1e-05,5,10.0,0.0013631449613896007,Variance
0,RIDGE,1e-05,5,10.0,0.3299441973976534,R2
0,RIDGE,1e-05,5,10.0,0.0030313326650010723,MSE_train
0,LASSO,1e-05,5,10.0,0.004547602202941274,MSE
0,LASSO,1e-05,5,10.0,7.691481732407726e-08,Bias
0,LASSO,1e-05,5,10.0,0.0,Variance
0,LASSO,1e-05,5,10.0,-0.0005005077593644991,R2
0,LASSO,1e-05,5,10.0,0.004547616571557415,MSE_train
0,RIDGE,0.0001,5,10.0,0.0030503651321830572,MSE
0,RIDGE,0.0001,5,10.0,-0.0028613317287385265,Bias
0,RIDGE,0.0001,5,10.0,0.0013642846319600437,Variance
0,RIDGE,0.0001,5,10.0,0.32822165043534635,R2
0,RIDGE,0.0001,5,10.0,0.0030310698739996777,MSE_train
0,LASSO,0.0001,5,10.0,0.004547604171540117,MSE
0,LASSO,0.0001,5,10.0,1.0706548699074622e-07,Bias
0,LASSO,0.0001,5,10.0,0.0,Variance
0,LASSO,0.0001,5,10.0,-0.0006505532944049985,R2
0,LASSO,0.0001,5,10.0,0.00454761665033842,MSE_train
0,RIDGE,0.001,5,10.0,0.0030491444431183373,MSE
0,RIDGE,0.001,5,10.0,-0.0028648253730289256,Bias
0,RIDGE,0.001,5,10.0,0.0013663787739572088,Variance
0,RIDGE,0.001,5,10.0,0.32924610825045525,R2
0,RIDGE,0.001,5,10.0,0.00303116707557559,MSE_train
0,LASSO,0.001,5,10.0,0.004547653607991703,MSE
0,LASSO,0.001,5,10.0,2.71027059646805e-07,Bias
0,LASSO,0.001,5,10.0,0.0,Variance
0,LASSO,0.001,5,10.0,-0.0013379493986134252,R2
0,LASSO,0.001,5,10.0,0.004547618628726942,MSE_train
0,OLS,0.0,5,20.0,0.0017429962468459798,MSE
0,OLS,0.0,5,20.0,-0.005691939112236544,Bias
0,OLS,0.0,5,20.0,0.0028873670517406283,Variance
0,OLS,0.0,5,20.0,0.6164357157156282,R2
0,OLS,0.0,5,20.0,0.001682770234745817,MSE_train
0,RIDGE,1e-06,5,20.0,0.0028779331891800866,MSE
0,RIDGE,1e-06,5,20.0,-0.003165030742762246,Bias
0,RIDGE,1e-06,5,20.0,0.0014954108293599392,Variance
0,RIDGE,1e-06,5,20.0,0.3669582965676159,R2
0,RIDGE,1e-06,5,20.0,0.0028577132496485228,MSE_train
0,LASSO,1e-06,5,20.0,0.004547596919932202,MSE
0,LASSO,1e-06,5,20.0,1.0007233225680272e-08,Bias
0,LASSO,1e-06,5,20.0,0.0,Variance
0,LASSO,1e-06,5,20.0,-0.00016035684461472113,R2
0,LASSO,1e-06,5,20.0,0.0045476163601376185,MSE_train
0,RIDGE,1e-05,5,20.0,0.0028825229106746383,MSE
0,RIDGE,1e-05,5,20.0,-0.0031639406172433025,Bias
0,RIDGE,1e-05,5,20.0,0.00149891831351228,Variance
0,RIDGE,1e-05,5,20.0,0.3655321364593621,R2
0,RIDGE,1e-05,5,20.0,0.0028572445930266075,MSE_train
0,LASSO,1e-05,5,20.0,0.00454764565857538,MSE
0,LASSO,1e-05,5,20.0,9.119487322847401e-08,Bias
0,LASSO,1e-05,5,20.0,0.0,Variance
0,LASSO,1e-05,5,20.0,-0.0003501363621457587,R2
0,LASSO,1e-05,5,20.0,0.004547618310600671,MSE_train
0,RIDGE,0.0001,5,20.0,0.0028857826136196568,MSE
0,RIDGE,0.0001,5,20.0,-0.003158769592146224,Bias
0,RIDGE,0.0001,5,20.0,0.001497021236313666,Variance
0,RIDGE,0.0001,5,20.0,0.3644976224272207,R2
0,RIDGE,0.0001,5,20.0,0.002856942452270629,MSE_train
0,LASSO,0.0001,5,20.0,0.004547642005916784,MSE
0,LASSO,0.0001,5,20.0,1.8593253512830957e-07,Bias
0,LASSO,0.0001,5,20.0,0.0,Variance
0,LASSO,0.0001,5,20.0,-0.0009354717631993766,R2
0,LASSO,0.0001,5,20.0,0.004547618164425579,MSE_train
0,RIDGE,0.001,5,20.0,0.002876911046322427,MSE
0,RIDGE,0.001,5,20.0,-0.003165515400892483,Bias
0,RIDGE,0.001,5,20.0,0.0014949997727061058,Variance
0,RIDGE,0.001,5,20.0,0.3667473555771194,R2
0,RIDGE,0.001,5,20.0,0.002857849277152231,MSE_train
0,LASSO,0.001,5,20.0,0.004547651642546913,MSE
0,LASSO,0.001,5,20.0,1.1664283550830059e-07,Bias
0,LASSO,0.001,5,20.0,0.0,Variance
0,LASSO,0.001,5,20.0,-0.0004754378937306495,R2
0,LASSO,0.001,5,20.0,0.004547618550072159,MSE_train
0,OLS,0.0,5,30.0,0.0016186202278349751,MSE
0,OLS,0.0,5,30.0,-0.006024215972576592,Bias
0,OLS,0.0,5,30.0,0.003095283367072488,Variance
0,OLS,0.0,5,30.0,0.6439443300274611,R2
0,OLS,0.0,5,30.0,0.0015475493662985298,MSE_train
0,RIDGE,1e-06,5,30.0,0.0027947512106966882,MSE
0,RIDGE,1e-06,5,30.0,-0.003303008129439572,Bias
0,RIDGE,1e-06,5,30.0,0.0015503073529408921,Variance
0,RIDGE,1e-06,5,30.0,0.3846715157416795,R2
0,RIDGE,1e-06,5,30.0,0.002765915430499542,MSE_train
0,LASSO,1e-06,5,30.0,0.004547622232998993,MSE
0,LASSO,1e-06,5,30.0,1.0224887601103547e-07,Bias
0,LASSO,1e-06,5,30.0,0.0,Variance
0,LASSO,1e-06,5,30.0,-0.0005336499418770272,R2
0,LASSO,1e-06,5,30.0,0.004547617373136715,MSE_train
0,RIDGE,1e-05,5,30.0,0.0027910944031925744,MSE
0,RIDGE,1e-05,5,30.0,-0.003297417494327567,Bias
0,RIDGE,1e-05,5,30.0,0.001540985296129491,Variance
0,RIDGE,1e-05,5,30.0,0.3843733887846303,R2
0,RIDGE,1e-05,5,30.0,0.002766177320239067,MSE_train
0,LASSO,1e-05,5,30.0,0.004547636832205671,MSE
0,LASSO,1e-05,5,30.0,6.041948833059469e-08,Bias
0,LASSO,1e-05,5,30.0,0.0,Variance
0,LASSO,1e-05,5,30.0,-0.00022291590122229069,R2
0,LASSO,1e-05,5,30.0,0.004547617957379758,MSE_train
0,RIDGE,0.0001,5,30.0,0.002788453875976583,MSE
0,RIDGE,0.0001,5,30.0,-0.0033063192335519537,Bias
0,RIDGE,0.0001,5,30.0,0.0015472430172393282,Variance
0,RIDGE,0.0001,5,30.0,0.38622789685999764,R2
0,RIDGE,0.0001,5,30.0,0.0027664691427749574,MSE_train
0,LASSO,0.0001,5,30.0,0.004547651937612872,MSE
0,LASSO,0.0001,5,30.0,9.204710728711624e-08,Bias
0,LASSO,0.0001,5,30.0,0.0,Variance
0,LASSO,0.0001,5,30.0,-0.00032118953458855814,R2
0,LASSO,0.0001,5,30.0,0.00454761856188035,MSE_train
0,RIDGE,0.001,5,30.0,0.0027930834080193527,MSE
0,RIDGE,0.001,5,30.0,-0.003298787827660461,Bias
0,RIDGE,0.001,5,30.0,0.001544475876504905,Variance
0,RIDGE,0.001,5,30.0,0.3848796384879404,R2
0,RIDGE,0.001,5,30.0,0.002766106560960878,MSE_train
0,LASSO,0.001,5,30.0,0.004547589310998523,MSE
0,LASSO,0.001,5,30.0,1.2404323324277872e-08,Bias
0,LASSO,0.001,5,30.0,0.0,Variance
0,LASSO,0.001,5,30.0,-0.00021314917305666667,R2
0,LASSO,0.001,5,30.0,0.00454761605563706,MSE_train
0,OLS,0.0,5,40.0,0.0015994388933322679,MSE
0,OLS,0.0,5,40.0,-0.006052563020358645,Bias
0,OLS,0.0,5,40.0,0.0031044956658825423,Variance
0,OLS,0.0,5,40.0,0.6477220212455633,R2
0,OLS,0.0,5,40.0,0.0015043447622468003,MSE_train
0,RIDGE,1e-06,5,40.0,0.0027336681868269995,MSE
0,RIDGE,1e-06,5,40.0,-0.003402241173799629,Bias
0,RIDGE,1e-06,5,40.0,0.0015883231318282326,Variance
0,RIDGE,1e-06,5,40.0,0.3986550100196624,R2
0,RIDGE,1e-06,5,40.0,0.0027034605491886607,MSE_train
0,LASSO,1e-06,5,40.0,0.004547622532930801,MSE
0,LASSO,1e-06,5,40.0,1.6522353787183138e-07,Bias
0,LASSO,1e-06,5,40.0,0.0,Variance
0,LASSO,1e-06,5,40.0,-0.000858042399796847,R2
0,LASSO,1e-06,5,40.0,0.004547617385139633,MSE_train
0,RIDGE,1e-05,5,40.0,0.0027272636932869137,MSE
0,RIDGE,1e-05,5,40.0,-0.0034092488890888305,Bias
0,RIDGE,1e-05,5,40.0,0.0015889286766499991,Variance
0,RIDGE,1e-05,5,40.0,0.39998288969371426,R2
0,RIDGE,1e-05,5,40.0,0.0027040699092804716,MSE_train
0,LASSO,1e-05,5,40.0,0.0045476240117069576,MSE
0,LASSO,1e-05,5,40.0,9.577023486606262e-08,Bias
0,LASSO,1e-05,5,40.0,0.0,Variance
0,LASSO,1e-05,5,40.0,-0.0004995504646890803,R2
0,LASSO,1e-05,5,40.0,0.004547617444318511,MSE_train
0,RIDGE,0.0001,5,40.0,0.0027284376371855836,MSE
0,RIDGE,0.0001,5,40.0,-0.0034059685783728866,Bias
0,RIDGE,0.0001,5,40.0,0.00158687323131643,Variance
0,RIDGE,0.0001,5,40.0,0.39965201432376646,R2
0,RIDGE,0.0001,5,40.0,0.0027039221601068923,MSE_train
0,LASSO,0.0001,5,40.0,0.0045476189596129766,MSE
0,LASSO,0.0001,5,40.0,6.001893469040017e-08,Bias
0,LASSO,0.0001,5,40.0,0.0,Variance
0,LASSO,0.0001,5,40.0,-0.00031809562621828064,R2
0,LASSO,0.0001,5,40.0,0.0045476172421396645,MSE_train
0,RIDGE,0.001,5,40.0,0.0027344983565352958,MSE
0,RIDGE,0.001,5,40.0,-0.0033992974083295706,Bias
0,RIDGE,0.001,5,40.0,0.0015863883901471594,Variance
0,RIDGE,0.001,5,40.0,0.3980070252754853,R2
0,RIDGE,0.001,5,40.0,0.0027034006413708205,MSE_train
0,LASSO,0.001,5,40.0,0.004547621462515962,MSE
0,LASSO,0.001,5,40.0,1.556379589353341e-07,Bias
0,LASSO,0.001,5,40.0,0.0,Variance
0,LASSO,0.001,5,40.0,-0.0008273364792820148,R2
0,LASSO,0.001,5,40.0,0.004547617342302893,MSE_train
0,OLS,0.0,5,50.0,0.001523090451479743,MSE
0,OLS,0.0,5,50.0,-0.0061636093453791944,Bias
0,OLS,0.0,5,50.0,0.0031391308742442486,Variance
0,OLS,0.0,5,50.0,0.6647528547517243,R2
0,OLS,0.0,5,50.0,0.0014438179133842899,MSE_train
0,RIDGE,1e-06,5,50.0,0.0027141753791950535,MSE
0,RIDGE,1e-06,5,50.0,-0.0034510176670864857,Bias
0,RIDGE,1e-06,5,50.0,0.0016176933951415865,Variance
0,RIDGE,1e-06,5,50.0,0.4029293020954828,R2
0,RIDGE,1e-06,5,50.0,0.0026830742565307755,MSE_train
0,LASSO,1e-06,5,50.0,0.00454761858150618,MSE
0,LASSO,1e-06,5,50.0,1.3191764637483433e-07,Bias
0,LASSO,1e-06,5,50.0,0.0,Variance
0,LASSO,1e-06,5,50.0,-0.0007243340631813238,R2
0,LASSO,1e-06,5,50.0,0.004547617227008277,MSE_train
0,RIDGE,1e-05,5,50.0,0.002716801167511847,MSE
0,RIDGE,1e-05,5,50.0,-0.00344187124480703,Bias
0,RIDGE,1e-05,5,50.0,0.0016110781450083096,Variance
0,RIDGE,1e-05,5,50.0,0.40193489709401015,R2
0,RIDGE,1e-05,5,50.0,0.002682782156697398,MSE_train
0,LASSO,1e-05,5,50.0,0.004547617153500481,MSE
0,LASSO,1e-05,5,50.0,4.9537176789106355e-08,Bias
0,LASSO,1e-05,5,50.0,0.0,Variance
0,LASSO,1e-05,5,50.0,-0.0002711813082878119,R2
0,LASSO,1e-05,5,50.0,0.0045476171698611715,MSE_train
0,RIDGE,0.0001,5,50.0,0.0027220203575250355,MSE
0,RIDGE,0.0001,5,50.0,-0.0034421021981027805,Bias
0,RIDGE,0.0001,5,50.0,0.0016166258382557751,Variance
0,RIDGE,0.0001,5,50.0,0.40075304045405036,R2
0,RIDGE,0.0001,5,50.0,0.0026824419575082223,MSE_train
0,LASSO,0.0001,5,50.0,0.004547604303538868,MSE
0,LASSO,0.0001,5,50.0,3.537470510006821e-08,Bias
0,LASSO,0.0001,5,50.0,0.0,Variance
0,LASSO,0.0001,5,50.0,-0.00025859756730968925,R2
0,LASSO,0.0001,5,50.0,0.004547616655620854,MSE_train
0,RIDGE,0.001,5,50.0,0.0027110543430714563,MSE
0,RIDGE,0.001,5,50.0,-0.0034518617085950143,Bias
0,RIDGE,0.001,5,50.0,0.0016154070337329614,Variance
0,RIDGE,0.001,5,50.0,0.4030472996610302,R2
0,RIDGE,0.001,5,50.0,0.0026833425994237216,MSE_train
0,LASSO,0.001,5,50.0,0.004547581393867161,MSE
0,LASSO,0.001,5,50.0,-1.7485945195412606e-08,Bias
0,LASSO,0.001,5,50.0,0.0,Variance
0,LASSO,0.001,5,50.0,-9.040330593734769e-05,R2
0,LASSO,0.001,5,50.0,0.004547615738802796,MSE_train
0,OLS,0.0,5,60.0,0.0014924467579394373,MSE
0,OLS,0.0,5,60.0,-0.006285810971917707,Bias
0,OLS,0.0,5,60.0,0.0032309511773417825,Variance
0,OLS,0.0,5,60.0,0.6708860302821313,R2
0,OLS,0.0,5,60.0,0.0013820439715069449,MSE_train
0,RIDGE,1e-06,5,60.0,0.0027014466561893326,MSE
0,RIDGE,1e-06,5,60.0,-0.0034661917140528064,Bias
0,RIDGE,1e-06,5,60.0,0.001620100765464733,Variance
0,RIDGE,1e-06,5,60.0,0.4052265213762854,R2
0,RIDGE,1e-06,5,60.0,0.0026652195376156342,MSE_train
0,LASSO,1e-06,5,60.0,0.004547605854962643,MSE
0,LASSO,1e-06,5,60.0,8.733696227018745e-08,Bias
0,LASSO,1e-06,5,60.0,0.0,Variance
0,LASSO,1e-06,5,60.0,-0.0005422421188213308,R2
0,LASSO,1e-06,5,60.0,0.004547616717707005,MSE_train
0,RIDGE,1e-05,5,60.0,0.0026951793834308737,MSE
0,RIDGE,1e-05,5,60.0,-0.0034735003543619023,Bias
0,RIDGE,1e-05,5,60.0,0.0016211686515796794,Variance
0,RIDGE,1e-05,5,60.0,0.4068645278208064,R2
0,RIDGE,1e-05,5,60.0,0.0026658107985668023,MSE_train
0,LASSO,1e-05,5,60.0,0.004547640578690022,MSE
0,LASSO,1e-05,5,60.0,9.349691830301172e-08,Bias
0,LASSO,1e-05,5,60.0,0.0,Variance
0,LASSO,1e-05,5,60.0,-0.00040045348843524103,R2
0,LASSO,1e-05,5,60.0,0.004547618107309647,MSE_train
0,RIDGE,0.0001,5,60.0,0.002699889524274913,MSE
0,RIDGE,0.0001,5,60.0,-0.0034735195954994293,Bias
0,RIDGE,0.0001,5,60.0,0.0016259268404414848,Variance
0,RIDGE,0.0001,5,60.0,0.4055929183468221,R2
0,RIDGE,0.0001,5,60.0,0.0026656191704771924,MSE_train
0,LASSO,0.0001,5,60.0,0.004547613836149485,MSE
0,LASSO,0.0001,5,60.0,7.786756971379341e-08,Bias
0,LASSO,0.0001,5,60.0,0.0,Variance
0,LASSO,0.0001,5,60.0,-0.00043262635316165804,R2
0,LASSO,0.0001,5,60.0,0.0045476170371046955,MSE_train
0,RIDGE,0.001,5,60.0,0.0026975705782758225,MSE
0,RIDGE,0.001,5,60.0,-0.003472762779797659,Bias
0,RIDGE,0.001,5,60.0,0.001622807057963842,Variance
0,RIDGE,0.001,5,60.0,0.40655879579114645,R2
0,RIDGE,0.001,5,60.0,0.0026655947289982544,MSE_train
0,LASSO,0.001,5,60.0,0.004547618571741276,MSE
0,LASSO,0.001,5,60.0,1.8778623403507136e-07,Bias
0,LASSO,0.001,5,60.0,0.0,Variance
0,LASSO,0.001,5,60.0,-0.0010217038244977699,R2
0,LASSO,0.001,5,60.0,0.004547617226617497,MSE_train
0,OLS,0.0,5,70.0,0.0017842906622385943,MSE
0,OLS,0.0,5,70.0,-0.006257430111694616,Bias
0,OLS,0.0,5,70.0,0.003494287236628239,Variance
0,OLS,0.0,5,70.0,0.603640298592765,R2
0,OLS,0.0,5,70.0,0.0013939513855112514,MSE_train
0,RIDGE,1e-06,5,70.0,0.002684119153051795,MSE
0,RIDGE,1e-06,5,70.0,-0.0034962653944377027,Bias
0,RIDGE,1e-06,5,70.0,0.001632796221260963,Variance
0,RIDGE,1e-06,5,70.0,0.4095234983933085,R2
0,RIDGE,1e-06,5,70.0,0.0026513571884631036,MSE_train
0,LASSO,1e-06,5,70.0,0.004547599140344003,MSE
0,LASSO,1e-06,5,70.0,1.716621226970014e-07,Bias
0,LASSO,1e-06,5,70.0,0.0,Variance
0,LASSO,1e-06,5,70.0,-0.0010568997356463772,R2
0,LASSO,1e-06,5,70.0,0.004547616448995881,MSE_train
0,RIDGE,1e-05,5,70.0,0.0026852593028391858,MSE
0,RIDGE,1e-05,5,70.0,-0.0034911593118769416,Bias
0,RIDGE,1e-05,5,70.0,0.0016288677059357129,Variance
0,RIDGE,1e-05,5,70.0,0.40908253108505865,R2
0,RIDGE,1e-05,5,70.0,0.002651326564769181,MSE_train
0,LASSO,1e-05,5,70.0,0.004547602136711409,MSE
0,LASSO,1e-05,5,70.0,2.6472221594630054e-08,Bias
0,LASSO,1e-05,5,70.0,0.0,Variance
0,LASSO,1e-05,5,70.0,-0.00022489656106942457,R2
0,LASSO,1e-05,5,70.0,0.004547616568906973,MSE_train
0,RIDGE,0.0001,5,70.0,0.002676743094596477,MSE
0,RIDGE,0.0001,5,70.0,-0.003504366398098244,Bias
0,RIDGE,0.0001,5,70.0,0.0016335658116905522,Variance
0,RIDGE,0.0001,5,70.0,0.41074182483956867,R2
0,RIDGE,0.0001,5,70.0,0.0026519769336675733,MSE_train
0,LASSO,0.0001,5,70.0,0.004547623694657513,MSE
0,LASSO,0.0001,5,70.0,5.1332177940288713e-08,Bias
0,LASSO,0.0001,5,70.0,0.0,Variance
0,LASSO,0.0001,5,70.0,-0.00024716174905092814,R2
0,LASSO,0.0001,5,70.0,0.004547617431630567,MSE_train
0,RIDGE,0.001,5,70.0,0.0026867500875020624,MSE
0,RIDGE,0.001,5,70.0,-0.0034953606489618403,Bias
0,RIDGE,0.001,5,70.0,0.0016347223770834987,Variance
0,RIDGE,0.001,5,70.0,0.4082702008555441,R2
0,RIDGE,0.001,5,70.0,0.0026510496554250054,MSE_train
0,LASSO,0.001,5,70.0,0.004547623337104753,MSE
0,LASSO,0.001,5,70.0,7.132998665901005e-08,Bias
0,LASSO,0.001,5,70.0,0.0,Variance
0,LASSO,0.001,5,70.0,-0.000345925568166742,R2
0,LASSO,0.001,5,70.0,0.004547617417321727,MSE_train
0,OLS,0.0,5,80.0,0.001665898029265058,MSE
0,OLS,0.0,5,80.0,-0.006313135531990855,Bias
0,OLS,0.0,5,80.0,0.0034315209224708636,Variance
0,OLS,0.0,5,80.0,0.6308545105927006,R2
0,OLS,0.0,5,80.0,0.0013559107055012764,MSE_train
0,RIDGE,1e-06,5,80.0,0.0026818312900730966,MSE
0,RIDGE,1e-06,5,80.0,-0.0035082906961583444,Bias
0,RIDGE,1e-06,5,80.0,0.0016425839177248171,Variance
0,RIDGE,1e-06,5,80.0,0.40937236576700603,R2
0,RIDGE,1e-06,5,80.0,0.002644073553471179,MSE_train
0,LASSO,1e-06,5,80.0,0.0045476171458969155,MSE
0,LASSO,1e-06,5,80.0,6.284929485352709e-08,Bias
0,LASSO,1e-06,5,80.0,0.0,Variance
